id,name,slug,department_code,insee_code,postal_code,lat,lng,pop
166,Villes,villes,01,01448,01200,46.0833,5.78333,400
167,Saint-Julien-sur-Reyssouze,saint-julien-sur-reyssouze,01,01367,01560,46.4,5.11667,600
168,Groslée,groslee,01,01182,01680,45.7167,5.56667,400
169,Vandeins,vandeins,01,01429,01660,46.2167,5.08333,600
170,Verjon,verjon,01,01432,01270,46.35,5.35,300
171,Saint-André-sur-Vieux-Jonc,saint-andre-sur-vieux-jonc,01,01336,01240,46.15,5.06667,1000
172,Saint-André-d'Huiriat,saint-andre-d-huiriat,01,01334,01290,46.2167,4.91667,500
173,Grilly,grilly,01,01180,01220,46.3333,6.11667,700
174,Cessy,cessy,01,01071,01170,46.3167,6.06667,3700
175,Ordonnaz,ordonnaz,01,01280,01510,45.8333,5.53333,100
176,Vescours,vescours,01,01437,01560,46.4667,5.03333,200
177,Meillonnas,meillonnas,01,01241,01370,46.25,5.35,1300
178,Géovreisset,geovreisset,01,01171,01100,46.25,5.6,900
179,Ceyzérieu,ceyzerieu,01,01073,01350,45.8333,5.73333,900
180,Béard-Géovreissiat,beard-geovreissiat,01,01170,01460,46.2,5.56667,900
181,La Burbanche,burbanche,01,01066,01510,45.85,5.56667,100
182,Perrex,perrex,01,01291,01540,46.2333,4.98333,800
183,Villemotier,villemotier,01,01445,01270,46.35,5.31667,600
184,Jasseron,jasseron,01,01195,01250,46.2167,5.33333,1400
185,Corveissiat,corveissiat,01,01125,01250,46.2333,5.48333,600
186,Journans,journans,01,01197,01250,46.15,5.33333,300
187,Sermoyer,sermoyer,01,01402,01190,46.5,4.98333,700
188,Charix,charix,01,01087,01130,46.1833,5.68333,300
189,Arbignieu,arbignieu,01,01015,01300,45.7333,5.65,500
190,Leyssard,leyssard,01,01214,01450,46.1667,5.46667,200
191,Saint-Jean-de-Thurigneux,saint-jean-de-thurigneux,01,01362,01390,45.95,4.88333,600
192,Frans,frans,01,01166,01480,45.9833,4.78333,2000
193,Tenay,tenay,01,01416,01230,45.9167,5.5,1100
194,Bâgé-la-Ville,bage-la-ville,01,01025,01380,46.3167,4.95,2900
195,Montmerle-sur-Saône,montmerle-sur-saone,01,01263,01090,46.0833,4.76667,3800
196,Courmangoux,courmangoux,01,01127,01370,46.3333,5.36667,500
197,Baneins,baneins,01,01028,01990,46.1167,4.9,600
198,Lagnieu,lagnieu,01,01202,01150,45.9,5.35,6700
199,Attignat,attignat,01,01024,01340,46.2833,5.16667,2700
200,Saint-André-de-Bâgé,saint-andre-de-bage,01,01332,01380,46.3,4.91667,600
201,Pont-de-Vaux,pont-de-vaux,01,01305,01190,46.4333,4.93333,2200
202,Ambérieu-en-Bugey,amberieu-en-bugey,01,01004,01500,45.95,5.35,12800
203,Peyzieux-sur-Saône,peyzieux-sur-saone,01,01295,01140,46.1167,4.81667,400
204,Crozet,crozet-01,01,01135,01170,46.2806,6.01251,1800
205,Seyssel,seyssel-01,01,01407,01420,45.9597,5.83194,900
206,Beynost,beynost,01,01043,01700,45.8333,5.0,4300
207,Versonnex,versonnex-01,01,01435,01210,46.3023,6.09723,2100
208,Saint-Laurent-sur-Saône,saint-laurent-sur-saone,01,01370,01620,46.3,4.83333,1700
209,Artemare,artemare,01,01022,01510,45.8667,5.7,1100
210,Montracol,montracol,01,01264,01310,46.1833,5.11667,900
211,Parves,parves,01,01286,01300,45.75,5.75,300
212,Pugieu,pugieu,01,01316,01510,45.8167,5.65,100
213,Virieu-le-Grand,virieu-le-grand,01,01452,01510,45.85,5.65,1100
214,Saint-Rémy,saint-remy-01,01,01385,01310,46.1833,5.16667,800
215,Rancé,rance,01,01318,01390,45.9667,4.86667,600
216,Grièges,grieges,01,01179,01290,46.25,4.85,1800
217,Grand-Corent,grand-corent,01,01177,01250,46.2,5.43333,100
218,Outriaz,outriaz,01,01282,01430,46.0667,5.55,300
219,Montagnieu,montagnieu-01,01,01255,01470,45.8,5.46667,500
220,Champagne-en-Valromey,champagne-en-valromey,01,01079,01260,45.9,5.68333,700
221,Ambérieux-en-Dombes,amberieux-en-dombes,01,01005,01330,46.0,4.9,1600
